"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39"
"Hamming1",0.0176470588235294,0.0162464985994398,0.0176470588235294,0.0170868347338936,0.0168067226890756,0.0165266106442577,0.0170868347338936,0.0162464985994398,0.0168067226890756,0.0179271708683473,0.0165266106442577,0.0168067226890756,0.0165266106442577,0.0179271708683473,0.0165266106442577,0.0173669467787115,0.0184873949579832,0.0184873949579832,0.0162464985994398,0.0170868347338936,0.0168067226890756,0.0168067226890756,0.0162464985994398,0.0176470588235294,0.0170868347338936,0.0165266106442577,0.0165266106442577,0.0176470588235294,0.0165266106442577,0.0173669467787115,0.0170868347338936,0.0176470588235294,0.0176470588235294,0.0170868347338936,0.0173669467787115,0.0179271708683473,0.0165266106442577,0.0176470588235294,0.0170868347338936
"Jaccard",0.16710875331565,0.155913978494624,0.16710875331565,0.162666666666667,0.160427807486631,0.158176943699732,0.162666666666667,0.155913978494624,0.160427807486631,0.169312169312169,0.158176943699732,0.160427807486631,0.158176943699732,0.169312169312169,0.158176943699732,0.164893617021277,0.173684210526316,0.173684210526316,0.155913978494624,0.162666666666667,0.160427807486631,0.160427807486631,0.155913978494624,0.16710875331565,0.162666666666667,0.158176943699732,0.158176943699732,0.16710875331565,0.158176943699732,0.164893617021277,0.162666666666667,0.16710875331565,0.16710875331565,0.162666666666667,0.164893617021277,0.169312169312169,0.158176943699732,0.16710875331565,0.162666666666667
"Spanning Trees",14.185814686552,15.5266978694211,14.9674491546614,15.0282969515428,14.9628072183505,15.1423670847772,13.9548369183846,15.6398190908382,14.4047328305331,13.3938381371904,14.7896854556878,14.3532870728347,14.4495942340504,12.4628232177319,14.4322976439279,14.1171896551496,13.3195859431977,12.4251943045402,16.3540054183522,13.5506839401565,14.3557308050108,15.6553381880193,15.1319488399097,13.7463623283424,14.2006448192778,15.2590623056257,16.5351351421942,13.6469628453731,14.344436214882,13.204006469352,14.6975184851558,13.6865007585113,13.033615305934,14.4714960271394,14.5898064995939,14.0502158904597,15.1333638725071,13.7666991884393,15.8084183141627
"Hamming",0.0176470588235294,0.0162464985994398,0.0176470588235294,0.0170868347338936,0.0168067226890756,0.0165266106442577,0.0170868347338936,0.0162464985994398,0.0168067226890756,0.0179271708683473,0.0165266106442577,0.0168067226890756,0.0165266106442577,0.0179271708683473,0.0165266106442577,0.0173669467787115,0.0184873949579832,0.0184873949579832,0.0162464985994398,0.0170868347338936,0.0168067226890756,0.0168067226890756,0.0162464985994398,0.0176470588235294,0.0170868347338936,0.0165266106442577,0.0165266106442577,0.0176470588235294,0.0165266106442577,0.0173669467787115,0.0170868347338936,0.0176470588235294,0.0176470588235294,0.0170868347338936,0.0173669467787115,0.0179271708683473,0.0165266106442577,0.0176470588235294,0.0170868347338936
"IM",0.0744197804026795,0.083130116888108,0.0706481969163186,0.0789720094208035,0.0813682159798888,0.0784521043086146,0.0765118809456607,0.0802733856304443,0.0756157134274411,0.0733224453492882,0.0790565883047859,0.0768804621906595,0.0786891635434103,0.07225737874333,0.0773868133228339,0.070917400307357,0.0686553617010688,0.0638615366908635,0.0849741418788735,0.0736313291201179,0.0784807319181548,0.082038404326763,0.0787918283821315,0.0732977916255645,0.0748329214482415,0.0816944025528421,0.0736559552785939,0.0758976219058774,0.0778463773244605,0.0733507217981702,0.0764677389336562,0.0718925928350598,0.0696404014912566,0.074079931832803,0.0732995947269229,0.0725840109379462,0.0781050031513586,0.073939485972986,0.076510327008252
"HIM",0.0540819859116885,0.0598939272822049,0.0514907099030885,0.05713378244604,0.0587505425476962,0.0566915405057784,0.0554347717911166,0.0579127151725578,0.0547731779463653,0.0533739845212173,0.0571098634816233,0.055646524573404,0.0568555772046528,0.0526427214256632,0.0559546590359107,0.0516279406269925,0.0502759508246092,0.0470110606179597,0.0611741510149202,0.0534487256593575,0.0567524942621766,0.0592147182380738,0.0568862942040562,0.0533103411277108,0.054276726382963,0.0589368486935496,0.0533775636732753,0.0550993089615861,0.0562724947106896,0.0533007468462083,0.0554043094842323,0.0523448354170151,0.0507996269916646,0.0537577725616311,0.0532655678067255,0.0528669182910391,0.0564513966906959,0.0537515872838677,0.0554336994080904
"alpha=0.5,order=5",0.0948364981485454,0.0977162415129594,0.0968910360830081,0.103091295973957,0.0994300636965554,0.104679905967681,0.108963547478987,0.100533478853823,0.106847514483548,0.0985399112339222,0.100921905994407,0.103711645335892,0.104698227146057,0.108552251104397,0.113414784992297,0.106047338561705,0.0999049264637005,0.109099703687771,0.0937350749442489,0.113322646521758,0.105175957883742,0.0910153147540777,0.105739251475559,0.102713195816575,0.109732298600497,0.100386307611249,0.1005750211492,0.101670626572665,0.108180380256987,0.111748673738724,0.0990572904793865,0.101214031769268,0.111760124688579,0.1017643259245,0.0992514522652757,0.0972206316458204,0.102742190998739,0.100220696559682,0.0951299238231979
"alpha=0.5,order=3",0.0533806135098677,0.0507592721001443,0.0542250208688209,0.0541045612569547,0.0535658249209491,0.0533255053992985,0.0558828918155514,0.0514311592583378,0.053545676922755,0.0534640388372859,0.0520872459479404,0.0537616133033948,0.0530502623906093,0.0564961541117619,0.0553357423078581,0.0552457429153399,0.0566570329035502,0.0581661984061182,0.0504513899799386,0.0570239604915293,0.0534848001021933,0.0505518935066796,0.0524616922221755,0.0558486693942437,0.0565167606387295,0.0525447606956689,0.0521818472253736,0.054636141875413,0.0536888361068444,0.0573649130750084,0.0530019728952229,0.0543855503345779,0.0568157588632697,0.0535335133658404,0.0535298010082362,0.0549824865949145,0.0527579482677967,0.0546991291932614,0.0513334198774413
"alpha=0.9,order=3",0.0203918996371763,0.0188121822521917,0.0204310849313461,0.0198336138340475,0.0195460155833641,0.0192256507250753,0.0199176692336368,0.0188292505234897,0.0194996186684535,0.0206323814962723,0.0191602979060628,0.019522813927582,0.0192081705651921,0.0207977640079754,0.0193039562108775,0.0201815656079594,0.0214236582644942,0.0214639644871325,0.0188195611392055,0.0199738883170846,0.019511851005448,0.0193894783035862,0.0188790927455348,0.0205355525396306,0.019959980594445,0.0191978640308272,0.0191731416563665,0.0204453400172348,0.0192150191734506,0.0202876357992457,0.019790980673299,0.0204265177365017,0.0205178410565471,0.0198093720934475,0.0200962804556408,0.0207639470015799,0.0191981284845673,0.0204544229601366,0.0196825558184658
"ST norm",0.0436552975997314,0.0479797038529143,0.0461717537284117,0.0463681611769378,0.0461567732898517,0.0467365610297657,0.0429139850663783,0.0483461644265635,0.0443588787435272,0.0411178628041163,0.0455983816237849,0.0441934519371223,0.0445031759667308,0.0381506921485231,0.0444475365616342,0.0434349386966713,0.0408805967048622,0.0380311233026982,0.0506657286288455,0.0416194049696878,0.0442013087135446,0.0483964591353395,0.0467029035981249,0.0422457990816611,0.0437029302352316,0.0471137073700392,0.0512556419725989,0.0419275132007037,0.0441649967755672,0.0405114881640309,0.0453013468369672,0.0420540937868056,0.0399678130741382,0.0445736378240837,0.044954427521199,0.043219971809164,0.0467074749093302,0.0423109434595236,0.0488928240318609
