"DPre Cp","D1st Cp","D1st WPC","DInterim","D2nd Cp","D2nd WPC","DPost Cp","EPre Cp","E1st Cp","E1st WPC","EInterim","E2nd Cp","E2nd WPC","EPost Cp","FPre Cp","F1st Cp","F1st WPC","FInterim","F2nd Cp","F2nd WPC","FPost Cp"
"EInterim",0.185347825271104,0.264305039370503,0.244739433530544,0.20020285926844,0.288359138663695,0.330523355171455,0.323950508219791,0.187142998021761,0.273752014670967,0.246715514273438,0,0.241778921436318,0.320488934351235,0.228170012450488,0.172961141347271,0.264891815915328,0.349528509978945,0.175169886762384,0.27894798227556,0.261929614671094,0.347087032501102
"E2nd Cp",0.151473930926273,0.292617334871753,0.176454223610242,0.212818716087009,0.229385056120527,0.272487736559455,0.258668131083101,0.208305402964835,0.339945547344049,0.243519096041235,0.241778921436318,0,0.29229017581068,0.193397621656763,0.178902411650845,0.23057957448679,0.286073372609957,0.17942685668192,0.181321204192406,0.237842802118567,0.272205733685099
"E2nd WPC",0.235966785532408,0.30357187799902,0.268342164866239,0.204469527159584,0.268215207910897,0.138614373665973,0.149089850818473,0.337189433536264,0.397330316085862,0.350390342281042,0.320488934351235,0.29229017581068,0,0.286424127994042,0.25406901377835,0.29214886111629,0.168366099266026,0.220053026383163,0.239346380949528,0.280760984850222,0.191027765383774
"EPost Cp",0.146333775698279,0.271940750116045,0.174195730805351,0.200439813037778,0.214912053645829,0.272284887080599,0.261974245506278,0.207694125448342,0.325436416713914,0.232000793910411,0.228170012450488,0.193397621656763,0.286424127994042,0,0.171455419463725,0.216322892168531,0.288882345706717,0.177400313798761,0.197114945558454,0.225749144690296,0.27264759294187
"FPre Cp",0.141758723350188,0.301500870989543,0.223531021250331,0.129482120733139,0.280420573969289,0.288529436840088,0.273628500459333,0.136192099004016,0.284704104427721,0.253130414505632,0.172961141347271,0.178902411650845,0.25406901377835,0.171455419463725,0,0.29650348881327,0.318085792668476,0.128157835801574,0.234887834511849,0.289346748323554,0.295641903522871
"F1st Cp",0.220591543141439,0.237002441662571,0.199204637890452,0.291623680401562,0.21044405558192,0.289219467825611,0.281090427479101,0.2843767272357,0.323770440228754,0.191252706854518,0.264891815915328,0.23057957448679,0.29214886111629,0.216322892168531,0.29650348881327,0,0.31735537331037,0.263963077021739,0.268016251213241,0.208443034700614,0.34378526853132
"F1st WPC",0.272035554647913,0.301193579423624,0.286630006360302,0.273321264770662,0.268256183895285,0.142036428736571,0.152457607308861,0.362200189757118,0.384119921021946,0.322645846726828,0.349528509978945,0.286073372609957,0.168366099266026,0.288882345706717,0.318085792668476,0.31735537331037,0,0.286988602927468,0.27920766288959,0.312904026442756,0.227846419073679
"FInterim",0.128429638391911,0.272146416544189,0.210972607768615,0.108908944491413,0.25879481583521,0.252051669316228,0.242737263061256,0.169180011878692,0.274038108667324,0.241305342464539,0.175169886762384,0.17942685668192,0.220053026383163,0.177400313798761,0.128157835801574,0.263963077021739,0.286988602927468,0,0.233597632842609,0.277010715385579,0.285754014213509
"F2nd Cp",0.185030573157985,0.296315303915504,0.197195717993773,0.238522733696102,0.240166446187525,0.241923854416454,0.224915946090204,0.249887021004301,0.335968609499835,0.240197855213063,0.27894798227556,0.181321204192406,0.239346380949528,0.197114945558454,0.234887834511849,0.268016251213241,0.27920766288959,0.233597632842609,0,0.299739017100157,0.283475583008356
"F2nd WPC",0.221825857311625,0.221264979418557,0.207390305489024,0.280969644564068,0.203157226509968,0.273111730046384,0.27780640372823,0.290327688053725,0.31582937949874,0.193508963454658,0.261929614671094,0.237842802118567,0.280760984850222,0.225749144690296,0.289346748323554,0.208443034700614,0.312904026442756,0.277010715385579,0.299739017100157,0,0.345873179446824
"FPost Cp",0.27064491550339,0.339084366065594,0.284375771320411,0.262622605951197,0.287355507407252,0.194775187736066,0.184748317845201,0.340695244446988,0.397636050830298,0.322374863467601,0.347087032501102,0.272205733685099,0.191027765383774,0.27264759294187,0.295641903522871,0.34378526853132,0.227846419073679,0.285754014213509,0.283475583008356,0.345873179446824,0
