"DPre Cp","D1st Cp","D1st WPC","DInterim","D2nd Cp","D2nd WPC","DPost Cp","EPre Cp","E1st Cp","E1st WPC","EInterim","E2nd Cp","E2nd WPC","EPost Cp","FPre Cp","F1st Cp","F1st WPC","FInterim","F2nd Cp","F2nd WPC","FPost Cp"
"EInterim",0.0566168097867031,0.0529920713519662,0.0593837223743283,0.058346703969302,0.044776377710749,0.0274869648094292,0.0296505109008073,0.119025515624925,0.092927711561974,0.0651544316166543,0,0.080021695729276,0.0505459893801705,0.0842871948790355,0.070067773820431,0.0553801719829991,0.0273213452788406,0.0707015939570605,0.044716146839439,0.0654750646157179,0
"E2nd Cp",0.0665616143264759,0.0809839828875892,0.091504247973723,0.0619834123872266,0.0727217180875559,0.0412056902413635,0.042840340758235,0.105628337644496,0.132159941015102,0.105831358116383,0.080021695729276,0,0.101972830704384,0.120411807914806,0.0616098455064185,0.0671276459964111,0.0376162155247732,0.0591048531343435,0.0547510456807725,0.0770003344940581,0
"E2nd WPC",0.0421050779586599,0.0511606561049338,0.052761621623964,0.0392053459041741,0.048505800732559,0.0354224226841165,0.0345884176392416,0.0614692386242868,0.0669831377675717,0.0990226413357699,0.0505459893801705,0.101972830704384,0,0.0823483624138112,0.0390240565930229,0.0436979220986459,0.0399960832849064,0.038512673900814,0.0384870968571202,0.0454576962892587,0
"EPost Cp",0.0563169559841426,0.0630386594317568,0.0686006713786345,0.0561887663256585,0.0614843162234291,0.036319002329274,0.0446016223471812,0.113075966117943,0.0878482349373671,0.072443737452513,0.0842871948790355,0.120411807914806,0.0823483624138112,0,0.0570492604888115,0.051884063354723,0.0405642908902862,0.0517298755268001,0.0471669362125919,0.0659892079401353,0
"FPre Cp",0.0762895061906582,0.0839348877216084,0.0733692762647548,0.0716179368945738,0.0697664468852637,0.0382804041730852,0.0418269147246936,0.0671457523149862,0.061734722015385,0.0466827572620008,0.070067773820431,0.0616098455064185,0.0390240565930229,0.0570492604888115,0,0.10467802352756,0.0464604554139096,0.104510123589215,0.0733092864166187,0.100769910309357,0
"F1st Cp",0.0747344602001395,0.12307268212383,0.100803031568303,0.0695905221802017,0.0896833330721262,0.045540348475354,0.0431696630176749,0.0494250275470024,0.0657886584423572,0.0619642316120191,0.0553801719829991,0.0671276459964111,0.0436979220986459,0.051884063354723,0.10467802352756,0,0.0820594868071807,0.0916087947504332,0.0950065234263558,0.130569408251038,0
"F1st WPC",0.0399331314875026,0.0485484702126686,0.056241417027917,0.038733995671834,0.0443854709675053,0.0495793765262124,0.0443095407535505,0.0298110036846787,0.0316869379235996,0.0389371751910862,0.0273213452788406,0.0376162155247732,0.0399960832849064,0.0405642908902862,0.0464604554139096,0.0820594868071807,0,0.0706987325549578,0.0848665953150025,0.0877328820883363,0
"FInterim",0.0748128475921923,0.0808414982893055,0.0877611363142092,0.0755557322918925,0.0670312563210549,0.053908992200095,0.0473460041215664,0.0670910618314571,0.0731448948615921,0.0556928993465467,0.0707015939570605,0.0591048531343435,0.038512673900814,0.0517298755268001,0.104510123589215,0.0916087947504332,0.0706987325549578,0,0.131335720122677,0.134412835783384,0
"F2nd Cp",0.0619335330700481,0.093055428836942,0.0815019965691767,0.0516626992994345,0.0664036974150398,0.0504966142355962,0.0481010768590837,0.0423985175692319,0.0585690274416534,0.0422479035714284,0.044716146839439,0.0547510456807725,0.0384870968571202,0.0471669362125919,0.0733092864166187,0.0950065234263558,0.0848665953150025,0.131335720122677,0,0.17720874556311,0
"F2nd WPC",0.0785195565560842,0.0993534178126011,0.0998234961735199,0.0656780245764176,0.0730431106878209,0.0418197748016482,0.0499373478337837,0.0600461536043403,0.0688059102339501,0.0550322817030393,0.0654750646157179,0.0770003344940581,0.0454576962892587,0.0659892079401353,0.100769910309357,0.130569408251038,0.0877328820883363,0.134412835783384,0.17720874556311,0,0
"FPost Cp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
