"DInterim1" "DInterim2" "DInterim3" "EInterim1" "EInterim2" "EInterim3" "FInterim1" "FInterim2" "FInterim3"
"DInterim1" 0 0.429157427937916 0.544540366189166 0.829333871076158 0.813421483735081 0.814812728808786 0.832685634975711 0.772601027635051 0.804859154929577
"DInterim2" 0.429157427937916 0 0.49552267860619 0.831266666666667 0.813427191808715 0.821872041873156 0.818391125375009 0.789989118607182 0.822791787239906
"DInterim3" 0.544540366189166 0.49552267860619 0 0.87080415358609 0.8268791471772 0.834863821350308 0.817101051668953 0.7614289446186 0.803080957063258
"EInterim1" 0.829333871076158 0.831266666666667 0.87080415358609 0 0.467923794712286 0.527246394303301 0.813253366260951 0.869782433521354 0.875387168141593
"EInterim2" 0.813421483735081 0.813427191808715 0.8268791471772 0.467923794712286 0 0.295944510404299 0.779818942241516 0.832527472527473 0.855888735450779
"EInterim3" 0.814812728808786 0.821872041873156 0.834863821350308 0.527246394303301 0.295944510404299 0 0.780287895087342 0.818395209580838 0.857197367165888
"FInterim1" 0.832685634975711 0.818391125375009 0.817101051668953 0.813253366260951 0.779818942241516 0.780287895087342 0 0.575827237896203 0.727811795037061
"FInterim2" 0.772601027635051 0.789989118607182 0.7614289446186 0.869782433521354 0.832527472527473 0.818395209580838 0.575827237896203 0 0.410220781225876
"FInterim3" 0.804859154929577 0.822791787239906 0.803080957063258 0.875387168141593 0.855888735450779 0.857197367165888 0.727811795037061 0.410220781225876 0
