Source Target Weight
1 0 0.42917278512
2 0 0.633858847797
2 1 0.575697772766
3 0 0.803255528256
3 1 0.802412504247
3 2 0.819638578275
4 0 0.850142382534
4 1 0.847362944301
4 2 0.839911308204
4 3 0.307314712389
5 0 0.825554489531
5 1 0.795863694814
5 2 0.831117768208
5 3 0.320956454121
5 4 0.278415154749
6 0 0.761159206729
6 1 0.724985405721
6 2 0.780794469769
6 3 0.762823022709
6 4 0.80903500473
6 5 0.766287966613
7 0 0.772197485595
7 1 0.715553038883
7 2 0.791827049829
7 3 0.77430626927
7 4 0.818710832587
7 5 0.780559860519
7 6 0.380229642339
8 0 0.750980144176
8 1 0.697561272274
8 2 0.817368082686
8 3 0.791431628088
8 4 0.829083684186
8 5 0.793881875979
8 6 0.430291858679
8 7 0.321083037517
