Source Target Weight
1 0 0.564026110081
2 0 0.78814980436
2 1 0.759329327101
3 0 0.8087244284
3 1 0.808322824716
3 2 0.929299290131
4 0 0.781054625829
4 1 0.812356156502
4 2 0.920486214053
4 3 0.4391458474
5 0 0.854349785891
5 1 0.886519421173
5 2 0.912795297841
5 3 0.636877749075
5 4 0.547446369952
6 0 0.882659713168
6 1 0.890100899918
6 2 0.908708351899
6 3 0.913910505837
6 4 0.908895552224
6 5 0.927730619519
7 0 0.754308337215
7 1 0.773596098075
7 2 0.900801386182
7 3 0.817858168246
7 4 0.815028901734
7 5 0.901264110701
7 6 0.626069480333
8 0 0.699014934859
8 1 0.792707906596
8 2 0.92456705151
8 3 0.812466026454
8 4 0.813826824287
8 5 0.886904761905
8 6 0.847479707386
8 7 0.591186216037
